"","V1"
"1","Eugenia bryanii"
"2","Acropora globiceps"
"3","Acropora retusa"
"4","Echinomastus erectocentrus var. acunensis"
"5","Macrochelys temminckii"
"6","Psychotria malaspinae"
"7","Acipenser oxyrinchus oxyrinchus"
"8","Balaenoptera musculus"
"9","Sebastes paucispinis"
"10","Salvelinus confluentus"
"11","Glaucidium brasilianum cactorum"
"12","Ambystoma californiense"
"13","Schwalbea americana"
"14","Obovaria choctawensis"
"15","Lasthenia conjugens"
"16","Delphinapterus leucas"
"17","Gopherus agassizii"
"18","Cycas micronesica"
"19","Serianthes nelsonii"
"20","Cladonia perforata"
"21","Aphelocoma coerulescens"
"22","Samoana fragilis"
"23","Pleurobema strodeanum"
"24","Gopherus polyphemus"
"25","Centrocercus urophasianus"
"26","Chelonia mydas"
"27","Partula radiolata"
"28","Eretmochelys imbricata"
"29","Oncorhynchus keta"
"30","Partula gibba"
"31","Myotis sodalis"
"32","Orcinus orca"
"33","Rhynchospora knieskernii"
"34","Dermochelys coriacea"
"35","Caretta caretta"
"36","Brachyramphus marmoratus"
"37","Gallinula chloropus guami"
"38","Hypolimnas octocula marianensis"
"39","Pteropus mariannus mariannus"
"40","Megapodius laperouse"
"41","Charadrius montanus"
"42","Fusconaia escambia"
"43","Myotis septentrionalis"
"44","Enhydra lutris kenyoni"
"45","Strix occidentalis caurina"
"46","Actinemys marmorata"
"47","Etheostoma okaloosae"
"48","Hedyotis megalantha"
"49","Oncorhynchus tshawytscha"
"50","Oncorhynchus mykiss"
"51","Ambystoma bishopi"
"52","Sterna dougallii dougallii"
"53","Calidris canutus rufa"
"54","Bombus affinis"
"55","Phyllanthus saffordii"
"56","Sphyrna lewini"
"57","Seriatopora aculeata"
"58","Nervilia jacksoniae"
"59","Acipenser brevirostrum"
"60","Phoebastria albatrus"
"61","Isotria medeoloides"
"62","Antilocapra americana sonoriensis"
"63","Peromyscus polionotus niveiventris"
"64","Hamiota australis"
"65","Empidonax traillii extimus"
"66","Peromyscus polionotus peninsularis"
"67","Helonias bullata"
"68","Tinospora homosepala"
"69","Perimyotis subflavus"
"70","Heritiera longipetiolata"
"71","Desmocerus californicus dimorphus"
"72","Branchinecta lynchi"
"73","Lepidurus packardi"
"74","Trichechus manatus"
"75","Spea hammondii"
"76","Mycteria americana"
"77","Sebastes ruberrimus"
"78","Epinephelus striatus"
